sic,sic_desc_norm,n_tickers
100,AGRICULTURAL PRODUCTION CROPS,1
1000,METAL MINING,3
1040,GOLD AND SILVER ORES,3
1090,MISCELLANEOUS METAL ORES,1
1220,SILVER ORES,2
1221,BITUMINOUS COAL AND LIGNITE SURFACE MINING,1
1311,CRUDE PETROLEUM AND NATURAL GAS,24
1381,DRILLING OIL AND GAS WELLS,5
1389,OIL AND GAS FIELD SERVICES NEC,10
1400,MINING AND QUARRYING OF NONMETALLIC MINERALS NO FUELS,7
1520,GENERAL BLDG CONTRACTORS RESIDENTIAL BLDGS,3
1531,OPERATIVE BUILDERS,12
1540,GENERAL BLDG CONTRACTORS NONRESIDENTIAL BLDGS,1
1600,HEAVY CONSTRUCTION OTHER THAN BLDG CONST CONTRACTORS,4
1623,WATER SEWER PIPELINE COMM AND POWER LINE CONSTRUCTION,3
1700,CONSTRUCTION SPECIAL TRADE CONTRACTORS,2
1731,ELECTRICAL WORK,3
2000,FOOD AND KINDRED PRODUCTS,3
2011,MEAT PACKING PLANTS,1
2015,POULTRY SLAUGHTERING AND PROCESSING,1
2030,CANNED FROZEN AND PRESERVD FRUIT VEG AND FOOD SPECIALTIES,2
2033,CANNED FRUITS VEG PRESERVES JAMS AND JELLIES,1
2040,GRAIN MILL PRODUCTS,4
2060,SUGAR AND CONFECTIONERY PRODUCTS,2
2070,FATS AND OILS,3
2080,BEVERAGES,4
2082,MALT BEVERAGES,2
2090,MISCELLANEOUS FOOD PREPARATIONS AND KINDRED PRODUCTS,2
2111,CIGARETTES,2
2200,TEXTILE MILL PRODUCTS,1
2211,BROADWOVEN FABRIC MILLS COTTON,1
2221,BROADWOVEN FABRIC MILLS MAN MADE FIBER AND SILK,1
2273,CARPETS AND RUGS,1
2300,APPAREL AND OTHER FINISHD PRODS OF FABRICS AND SIMILAR MATL,2
2320,MEN S AND BOYS FURNISHGS WORK CLOTHG AND ALLIED GARMENTS,3
2340,WOMEN S MISSES CHILDREN S AND INFANTS UNDERGARMENTS,1
2400,LUMBER AND WOOD PRODUCTS NO FURNITURE,3
2430,MILLWOOD VENEER PLYWOOD AND STRUCTURAL WOOD MEMBERS,2
2451,MOBILE HOMES,1
2510,HOUSEHOLD FURNITURE,3
2511,WOOD HOUSEHOLD FURNITURE NO UPHOLSTERED,1
2522,OFFICE FURNITURE NO WOOD,2
2621,PAPER MILLS,3
2631,PAPERBOARD MILLS,1
2650,PAPERBOARD CONTAINERS AND BOXES,4
2670,CONVERTED PAPER AND PAPERBOARD PRODS NO CONTANERS BOXES,2
2711,NEWSPAPERS PUBLISHING OR PUBLISHING AND PRINTING,2
2731,BOOKS PUBLISHING OR PUBLISHING AND PRINTING,1
2750,COMMERCIAL PRINTING,1
2780,BLANKBOOKS LOOSELEAF BINDERS AND BOOKBINDG AND RELATD WORK,2
2800,CHEMICALS AND ALLIED PRODUCTS,5
2810,INDUSTRIAL INORGANIC CHEMICALS,6
2820,PLASTIC MATERIAL SYNTH RESIN RUBBER CELLULOS NO GLASS,3
2821,PLASTIC MATERIALS SYNTH RESINS AND NONVULCAN ELASTOMERS,8
2833,MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS,1
2834,PHARMACEUTICAL PREPARATIONS,11
2836,BIOLOGICAL PRODUCTS NO DIAGNOSTIC SUBSTANCES,1
2840,SOAP DETERGENTS CLEANG PREPARATIONS PERFUMES COSMETICS,4
2842,SPECIALTY CLEANING POLISHING AND SANITATION PREPARATIONS,1
2844,PERFUMES COSMETICS AND OTHER TOILET PREPARATIONS,4
2851,PAINTS VARNISHES LACQUERS ENAMELS AND ALLIED PRODS,3
2860,INDUSTRIAL ORGANIC CHEMICALS,7
2870,AGRICULTURAL CHEMICALS,4
2890,MISCELLANEOUS CHEMICAL PRODUCTS,3
2891,ADHESIVES AND SEALANTS,1
2911,PETROLEUM REFINING,10
2990,MISCELLANEOUS PRODUCTS OF PETROLEUM AND COAL,2
3021,RUBBER AND PLASTICS FOOTWEAR,2
3050,GASKETS PACKG AND SEALG DEVICES AND RUBBER AND PLASTICS HOSE,1
3060,FABRICATED RUBBER PRODUCTS NEC,1
3086,PLASTICS FOAM PRODUCTS,1
3089,PLASTICS PRODUCTS NEC,4
3100,LEATHER AND LEATHER PRODUCTS,2
3140,FOOTWEAR NO RUBBER,3
3221,GLASS CONTAINERS,1
3241,CEMENT HYDRAULIC,2
3290,ABRASIVE ASBESTOS AND MISC NONMETALLIC MINERAL PRODS,1
3310,STEEL WORKS BLAST FURNACES AND ROLLING AND FINISHING MILLS,2
3312,STEEL WORKS BLAST FURNACES AND ROLLING MILLS COKE OVENS,7
3317,STEEL PIPE AND TUBES,1
3334,PRIMARY PRODUCTION OF ALUMINUM,1
3350,ROLLING DRAWING AND EXTRUDING OF NONFERROUS METALS,4
3357,DRAWING AND INSULATING OF NONFERROUS WIRE,2
3411,METAL CANS,3
3412,METAL SHIPPING BARRELS DRUMS KEGS AND PAILS,1
3420,CUTLERY HANDTOOLS AND GENERAL HARDWARE,3
3430,HEATING EQUIP EXCEPT ELEC AND WARM AIR AND PLUMBING FIXTURES,1
3433,HEATING EQUIPMENT EXCEPT ELECTRIC AND WARM AIR FURNACES,1
3440,FABRICATED STRUCTURAL METAL PRODUCTS,3
3442,METAL DOORS SASH FRAMES MOLDINGS AND TRIM,1
3443,FABRICATED PLATE WORK BOILER SHOPS,1
3460,METAL FORGINGS AND STAMPINGS,1
3470,COATING ENGRAVING AND ALLIED SERVICES,1
3490,MISCELLANEOUS FABRICATED METAL PRODUCTS,5
3510,ENGINES AND TURBINES,3
3523,FARM MACHINERY AND EQUIPMENT,4
3524,LAWN AND GARDEN TRACTORS AND HOME LAWN AND GARDENS EQUIP,1
3530,CONSTRUCTION MINING AND MATERIALS HANDLING MACHINERY AND EQUIP,1
3531,CONSTRUCTION MACHINERY AND EQUIP,4
3533,OIL AND GAS FIELD MACHINERY AND EQUIPMENT,6
3537,INDUSTRIAL TRUCKS TRACTORS TRAILORS AND STACKERS,2
3540,METALWORKG MACHINERY AND EQUIPMENT,1
3541,MACHINE TOOLS METAL CUTTING TYPES,1
3550,SPECIAL INDUSTRY MACHINERY NO METALWORKING MACHINERY,3
3560,GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT,4
3561,PUMPS AND PUMPING EQUIPMENT,6
3562,BALL AND ROLLER BEARINGS,2
3564,INDUSTRIAL AND COMMERCIAL FANS AND BLOWERS AND AIR PURIFING EQUIP,1
3569,GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT NEC,1
3570,COMPUTER AND OFFICE EQUIPMENT,3
3571,ELECTRONIC COMPUTERS,1
3572,COMPUTER STORAGE DEVICES,1
3576,COMPUTER COMMUNICATIONS EQUIPMENT,3
3578,CALCULATING AND ACCOUNTING MACHINES NO ELECTRONIC COMPUTERS,2
3579,OFFICE MACHINES NEC,1
3580,REFRIGERATION AND SERVICE INDUSTRY MACHINERY,2
3585,AIR COND AND WARM AIR HEATG EQUIP AND COMM AND INDL REFRIG EQUIP,2
3590,MISC INDUSTRIAL AND COMMERCIAL MACHINERY AND EQUIPMENT,4
3600,ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT NO COMPUTER EQUIP,2
3620,ELECTRICAL INDUSTRIAL APPARATUS,2
3621,MOTORS AND GENERATORS,1
3630,HOUSEHOLD APPLIANCES,2
3640,ELECTRIC LIGHTING AND WIRING EQUIPMENT,1
3651,HOUSEHOLD AUDIO AND VIDEO EQUIPMENT,1
3661,TELEPHONE AND TELEGRAPH APPARATUS,2
3663,RADIO AND TV BROADCASTING AND COMMUNICATIONS EQUIPMENT,1
3669,COMMUNICATIONS EQUIPMENT NEC,1
3670,ELECTRONIC COMPONENTS AND ACCESSORIES,3
3672,PRINTED CIRCUIT BOARDS,3
3674,SEMICONDUCTORS AND RELATED DEVICES,1
3678,ELECTRONIC CONNECTORS,2
3690,MISCELLANEOUS ELECTRICAL MACHINERY EQUIPMENT AND SUPPLIES,4
3711,MOTOR VEHICLES AND PASSENGER CAR BODIES,5
3714,MOTOR VEHICLE PARTS AND ACCESSORIES,13
3715,TRUCK TRAILERS,1
3716,MOTOR HOMES,2
3720,AIRCRAFT AND PARTS,3
3721,AIRCRAFT,1
3724,AIRCRAFT ENGINES AND ENGINE PARTS,2
3728,AIRCRAFT PARTS AND AUXILIARY EQUIPMENT NEC,4
3730,SHIP AND BOAT BUILDING AND REPAIRING,3
3743,RAILROAD EQUIPMENT,3
3751,MOTORCYCLES BICYCLES AND PARTS,1
3760,GUIDED MISSILES AND SPACE VEHICLES AND PARTS,1
3790,MISCELLANEOUS TRANSPORTATION EQUIPMENT,1
3812,SEARCH DETECTION NAVIGATION GUIDANCE AERONAUTICAL SYS,4
3822,AUTO CONTROLS FOR REGULATING RESIDENTIAL AND COMML ENVIRONMENTS,1
3823,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT DISPLAY AND CONTROL,5
3824,TOTALIZING FLUID METERS AND COUNTING DEVICES,1
3826,LABORATORY ANALYTICAL INSTRUMENTS,5
3827,OPTICAL INSTRUMENTS AND LENSES,1
3829,MEASURING AND CONTROLLING DEVICES NEC,3
3841,SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS,12
3842,ORTHOPEDIC PROSTHETIC AND SURGICAL APPLIANCES AND SUPPLIES,5
3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,2
3861,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,2
3873,WATCHES CLOCKS CLOCKWORK OPERATED DEVICES PARTS,1
3949,SPORTING AND ATHLETIC GOODS NEC,1
3990,MISCELLANEOUS MANUFACTURING INDUSTRIES,3
4011,RAILROADS LINE HAUL OPERATING,2
4210,TRUCKING AND COURIER SERVICES NO AIR,1
4213,TRUCKING NO LOCAL,2
4400,WATER TRANSPORTATION,10
4412,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,9
4512,AIR TRANSPORTATION SCHEDULED,4
4513,AIR COURIER SERVICES,1
4610,PIPE LINES NO NATURAL GAS,1
4700,TRANSPORTATION SERVICES,3
4731,ARRANGEMENT OF TRANSPORTATION OF FREIGHT AND CARGO,2
4813,TELEPHONE COMMUNICATIONS NO RADIOTELEPHONE,3
4833,TELEVISION BROADCASTING STATIONS,2
