sic_desc_norm,count
REAL ESTATE INVESTMENT TRUSTS,109
FIRE MARINE AND CASUALTY INSURANCE,29
STATE COMMERCIAL BANKS,28
NATIONAL COMMERCIAL BANKS,25
CRUDE PETROLEUM AND NATURAL GAS,24
ELECTRIC SERVICES,21
INVESTMENT ADVICE,20
SERVICES BUSINESS SERVICES NEC,15
SERVICES PREPACKAGED SOFTWARE,14
MOTOR VEHICLE PARTS AND ACCESSORIES,13
ELECTRIC AND OTHER SERVICES COMBINED,12
SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS,12
OPERATIVE BUILDERS,12
SECURITY BROKERS DEALERS AND FLOTATION COMPANIES,11
PHARMACEUTICAL PREPARATIONS,11
HOTELS AND MOTELS,11
REAL ESTATE,11
RETAIL EATING PLACES,10
OIL AND GAS FIELD SERVICES NEC,10
PETROLEUM REFINING,10
WATER TRANSPORTATION,10
RETAIL AUTO DEALERS AND GASOLINE STATIONS,10
DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,9
LIFE INSURANCE,9
PLASTIC MATERIALS SYNTH RESINS AND NONVULCAN ELASTOMERS,8
SERVICES HELP SUPPLY SERVICES,7
STEEL WORKS BLAST FURNACES AND ROLLING MILLS COKE OVENS,7
SURETY INSURANCE,7
INDUSTRIAL ORGANIC CHEMICALS,7
NATURAL GAS DISTRIBUTION,7
MINING AND QUARRYING OF NONMETALLIC MINERALS NO FUELS,7
PERSONAL CREDIT INSTITUTIONS,7
NATURAL GAS TRANSMISSION,6
SERVICES MISCELLANEOUS AMUSEMENT AND RECREATION,6
OIL AND GAS FIELD MACHINERY AND EQUIPMENT,6
PUMPS AND PUMPING EQUIPMENT,6
RETAIL FAMILY CLOTHING STORES,6
INDUSTRIAL INORGANIC CHEMICALS,6
HOSPITAL AND MEDICAL SERVICE PLANS,6
MOTOR VEHICLES AND PASSENGER CAR BODIES,5
MISCELLANEOUS FABRICATED METAL PRODUCTS,5
SERVICES COMPUTER PROCESSING AND DATA PREPARATION,5
INSURANCE AGENTS BROKERS AND SERVICE,5
REAL ESTATE AGENTS AND MANAGERS FOR OTHERS,5
CHEMICALS AND ALLIED PRODUCTS,5
WHOLESALE DRUGS PROPRIETARIES AND DRUGGISTS SUNDRIES,5
DRILLING OIL AND GAS WELLS,5
LABORATORY ANALYTICAL INSTRUMENTS,5
ORTHOPEDIC PROSTHETIC AND SURGICAL APPLIANCES AND SUPPLIES,5
INDUSTRIAL INSTRUMENTS FOR MEASUREMENT DISPLAY AND CONTROL,5
BEVERAGES,4
MISCELLANEOUS ELECTRICAL MACHINERY EQUIPMENT AND SUPPLIES,4
FARM MACHINERY AND EQUIPMENT,4
SERVICES COMPUTER INTEGRATED SYSTEMS DESIGN,4
PLASTICS PRODUCTS NEC,4
RETAIL DEPARTMENT STORES,4
TITLE INSURANCE,4
COMMERCIAL BANKS NEC,4
RETAIL VARIETY STORES,4
SERVICES CONSUMER CREDIT REPORTING COLLECTION AGENCIES,4
ROLLING DRAWING AND EXTRUDING OF NONFERROUS METALS,4
MISC INDUSTRIAL AND COMMERCIAL MACHINERY AND EQUIPMENT,4
RETAIL LUMBER AND OTHER BUILDING MATERIALS DEALERS,4
GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT,4
CONSTRUCTION MACHINERY AND EQUIP,4
SERVICES EQUIPMENT RENTAL AND LEASING NEC,4
SERVICES PERSONAL SERVICES,4
SAVINGS INSTITUTION FEDERALLY CHARTERED,4
PERFUMES COSMETICS AND OTHER TOILET PREPARATIONS,4
HEAVY CONSTRUCTION OTHER THAN BLDG CONST CONTRACTORS,4
RETAIL SHOE STORES,4
AIRCRAFT PARTS AND AUXILIARY EQUIPMENT NEC,4
SOAP DETERGENTS CLEANG PREPARATIONS PERFUMES COSMETICS,4
WATER SUPPLY,4
SERVICES GENERAL MEDICAL AND SURGICAL HOSPITALS NEC,4
SEARCH DETECTION NAVIGATION GUIDANCE AERONAUTICAL SYS,4
PAPERBOARD CONTAINERS AND BOXES,4
GRAIN MILL PRODUCTS,4
AIR TRANSPORTATION SCHEDULED,4
AGRICULTURAL CHEMICALS,4
FINANCE SERVICES,4
WHOLESALE INDUSTRIAL MACHINERY AND EQUIPMENT,3
RETAIL AUTO AND HOME SUPPLY STORES,3
ACCIDENT AND HEALTH INSURANCE,3
NATURAL GAS TRANSMISISON AND DISTRIBUTION,3
RETAIL GROCERY STORES,3
SHIP AND BOAT BUILDING AND REPAIRING,3
COMPUTER AND OFFICE EQUIPMENT,3
RAILROAD EQUIPMENT,3
COMPUTER COMMUNICATIONS EQUIPMENT,3
MISCELLANEOUS MANUFACTURING INDUSTRIES,3
MEASURING AND CONTROLLING DEVICES NEC,3
TELEPHONE COMMUNICATIONS NO RADIOTELEPHONE,3
ELECTRONIC COMPONENTS AND ACCESSORIES,3
PRINTED CIRCUIT BOARDS,3
TRANSPORTATION SERVICES,3
AIRCRAFT AND PARTS,3
WHOLESALE LUMBER AND OTHER CONSTRUCTION MATERIALS,3
SPECIAL INDUSTRY MACHINERY NO METALWORKING MACHINERY,3
ENGINES AND TURBINES,3
WATER SEWER PIPELINE COMM AND POWER LINE CONSTRUCTION,3
FOOTWEAR NO RUBBER,3
FATS AND OILS,3
SERVICES EDUCATIONAL SERVICES,3
HOUSEHOLD FURNITURE,3
MISCELLANEOUS CHEMICAL PRODUCTS,3
FOOD AND KINDRED PRODUCTS,3
PAINTS VARNISHES LACQUERS ENAMELS AND ALLIED PRODS,3
ELECTRICAL WORK,3
METAL CANS,3
MEN S AND BOYS FURNISHGS WORK CLOTHG AND ALLIED GARMENTS,3
PLASTIC MATERIAL SYNTH RESIN RUBBER CELLULOS NO GLASS,3
CUTLERY HANDTOOLS AND GENERAL HARDWARE,3
SERVICES MANAGEMENT CONSULTING SERVICES,3
METAL MINING,3
GOLD AND SILVER ORES,3
PAPER MILLS,3
GENERAL BLDG CONTRACTORS RESIDENTIAL BLDGS,3
FABRICATED STRUCTURAL METAL PRODUCTS,3
LUMBER AND WOOD PRODUCTS NO FURNITURE,3
SERVICES MEDICAL LABORATORIES,2
MORTGAGE BANKERS AND LOAN CORRESPONDENTS,2
APPAREL AND OTHER FINISHD PRODS OF FABRICS AND SIMILAR MATL,2
SAVINGS INSTITUTIONS NOT FEDERALLY CHARTERED,2
PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,2
TRUCKING NO LOCAL,2
ARRANGEMENT OF TRANSPORTATION OF FREIGHT AND CARGO,2
CIGARETTES,2
MISCELLANEOUS FOOD PREPARATIONS AND KINDRED PRODUCTS,2
RAILROADS LINE HAUL OPERATING,2
TELEVISION BROADCASTING STATIONS,2
GAS AND OTHER SERVICES COMBINED,2
MALT BEVERAGES,2
SUGAR AND CONFECTIONERY PRODUCTS,2
SILVER ORES,2
RETAIL APPAREL AND ACCESSORY STORES,2
WHOLESALE GROCERIES GENERAL LINE,2
WHOLESALE GROCERIES AND RELATED PRODUCTS,2
RETAIL FURNITURE STORES,2
WHOLESALE HARDWARE AND PLUMBING AND HEATING EQUIPMENT AND SUPPLIES,2
WHOLESALE ELECTRONIC PARTS AND EQUIPMENT NEC,2
RETAIL EATING AND DRINKING PLACES,2
CONSTRUCTION SPECIAL TRADE CONTRACTORS,2
RETAIL CATALOG AND MAIL ORDER HOUSES,2
RETAIL RETAIL STORES NEC,2
REFUSE SYSTEMS,2
SERVICES MANAGEMENT SERVICES,2
SERVICES COMMERCIAL PHYSICAL AND BIOLOGICAL RESEARCH,2
CANNED FROZEN AND PRESERVD FRUIT VEG AND FOOD SPECIALTIES,2
ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,2
MILLWOOD VENEER PLYWOOD AND STRUCTURAL WOOD MEMBERS,2
SERVICES COMPUTER PROGRAMMING DATA PROCESSING ETC,2
ELECTRONIC CONNECTORS,2
CEMENT HYDRAULIC,2
TELEPHONE AND TELEGRAPH APPARATUS,2
STEEL WORKS BLAST FURNACES AND ROLLING AND FINISHING MILLS,2
OFFICE FURNITURE NO WOOD,2
HOUSEHOLD APPLIANCES,2
ELECTRICAL INDUSTRIAL APPARATUS,2
ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT NO COMPUTER EQUIP,2
DRAWING AND INSULATING OF NONFERROUS WIRE,2
AIR COND AND WARM AIR HEATG EQUIP AND COMM AND INDL REFRIG EQUIP,2
REFRIGERATION AND SERVICE INDUSTRY MACHINERY,2
OPEATORS OF NONRESIDENTIAL BUILDINGS,2
CALCULATING AND ACCOUNTING MACHINES NO ELECTRONIC COMPUTERS,2
SERVICES MISCELLANEOUS EQUIPMENT RENTAL AND LEASING,2
BALL AND ROLLER BEARINGS,2
SERVICES TO DWELLINGS AND OTHER BUILDINGS,2
SERVICES ADVERTISING AGENCIES,2
INDUSTRIAL TRUCKS TRACTORS TRAILORS AND STACKERS,2
LEATHER AND LEATHER PRODUCTS,2
UNKNOWN,2
BLANKBOOKS LOOSELEAF BINDERS AND BOOKBINDG AND RELATD WORK,2
AIRCRAFT ENGINES AND ENGINE PARTS,2
MISCELLANEOUS PRODUCTS OF PETROLEUM AND COAL,2
RUBBER AND PLASTICS FOOTWEAR,2
NEWSPAPERS PUBLISHING OR PUBLISHING AND PRINTING,2
MOTOR HOMES,2
CONVERTED PAPER AND PAPERBOARD PRODS NO CONTANERS BOXES,2
SERVICES EMPLOYMENT AGENCIES,1
LAND SUBDIVIDERS AND DEVELOPERS NO CEMETERIES,1
PATENT OWNERS AND LESSORS,1
RETAIL HOME FURNITURE FURNISHINGS AND EQUIPMENT STORES,1
SECURITY AND COMMODITY BROKERS DEALERS EXCHANGES AND SERVICES,1
SERVICES MOTION PICTURE THEATERS,1
SERVICES FACILITIES SUPPORT MANAGEMENT SERVICES,1
SERVICES ADVERTISING,1
INVESTORS NEC,1
SERVICES SERVICES NEC,1
HOTELS ROOMING HOUSES CAMPS AND OTHER LODGING PLACES,1
SERVICES NURSING AND PERSONAL CARE FACILITIES,1
SERVICES AMUSEMENT AND RECREATION SERVICES,1
SERVICES MISCELLANEOUS BUSINESS SERVICES,1
RETAIL RADIO TV AND CONSUMER ELECTRONICS STORES,1
RETAIL COMPUTER AND COMPUTER SOFTWARE STORES,1
FEDERAL AND FEDERALLY SPONSORED CREDIT AGENCIES,1
RETAIL DRUG STORES AND PROPRIETARY STORES,1
RETAIL MISCELLANEOUS SHOPPING GOODS STORES,1
SERVICES MISCELLANEOUS REPAIR SERVICES,1
RETAIL JEWELRY STORES,1
SERVICES AUTO RENTAL AND LEASING NO DRIVERS,1
REAL ESTATE OPERATORS NO DEVELOPERS AND LESSORS,1
SERVICES MISC HEALTH AND ALLIED SERVICES NEC,1
SERVICES DETECTIVE GUARD AND ARMORED CAR SERVICES,1
SERVICES CHILD DAY CARE SERVICES,1
INSURANCE CARRIERS NEC,1
SERVICES ENGINEERING SERVICES,1
SERVICES COMPUTER PROGRAMMING SERVICES,1
SERVICES MEMBERSHIP SPORTS AND RECREATION CLUBS,1
AGRICULTURAL PRODUCTION CROPS,1
RETAIL BUILDING MATERIALS HARDWARE GARDEN SUPPLY,1
WHOLESALE PETROLEUM AND PETROLEUM PRODUCTS NO BULK STATIONS,1
GASKETS PACKG AND SEALG DEVICES AND RUBBER AND PLASTICS HOSE,1
FABRICATED RUBBER PRODUCTS NEC,1
PLASTICS FOAM PRODUCTS,1
GLASS CONTAINERS,1
ABRASIVE ASBESTOS AND MISC NONMETALLIC MINERAL PRODS,1
STEEL PIPE AND TUBES,1
PRIMARY PRODUCTION OF ALUMINUM,1
METAL SHIPPING BARRELS DRUMS KEGS AND PAILS,1
HEATING EQUIP EXCEPT ELEC AND WARM AIR AND PLUMBING FIXTURES,1
HEATING EQUIPMENT EXCEPT ELECTRIC AND WARM AIR FURNACES,1
METAL DOORS SASH FRAMES MOLDINGS AND TRIM,1
FABRICATED PLATE WORK BOILER SHOPS,1
METAL FORGINGS AND STAMPINGS,1
COATING ENGRAVING AND ALLIED SERVICES,1
LAWN AND GARDEN TRACTORS AND HOME LAWN AND GARDENS EQUIP,1
CONSTRUCTION MINING AND MATERIALS HANDLING MACHINERY AND EQUIP,1
METALWORKG MACHINERY AND EQUIPMENT,1
ADHESIVES AND SEALANTS,1
SPECIALTY CLEANING POLISHING AND SANITATION PREPARATIONS,1
BIOLOGICAL PRODUCTS NO DIAGNOSTIC SUBSTANCES,1
BROADWOVEN FABRIC MILLS COTTON,1
MISCELLANEOUS METAL ORES,1
BITUMINOUS COAL AND LIGNITE SURFACE MINING,1
GENERAL BLDG CONTRACTORS NONRESIDENTIAL BLDGS,1
MEAT PACKING PLANTS,1
POULTRY SLAUGHTERING AND PROCESSING,1
CANNED FRUITS VEG PRESERVES JAMS AND JELLIES,1
TEXTILE MILL PRODUCTS,1
BROADWOVEN FABRIC MILLS MAN MADE FIBER AND SILK,1
MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS,1
CARPETS AND RUGS,1
WOMEN S MISSES CHILDREN S AND INFANTS UNDERGARMENTS,1
MOBILE HOMES,1
WOOD HOUSEHOLD FURNITURE NO UPHOLSTERED,1
PAPERBOARD MILLS,1
BOOKS PUBLISHING OR PUBLISHING AND PRINTING,1
COMMERCIAL PRINTING,1
MACHINE TOOLS METAL CUTTING TYPES,1
INDUSTRIAL AND COMMERCIAL FANS AND BLOWERS AND AIR PURIFING EQUIP,1
GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT NEC,1
WHOLESALE LUMBER PLYWOOD MILLWORK AND WOOD PANELS,1
PIPE LINES NO NATURAL GAS,1
CABLE AND OTHER PAY TELEVISION SERVICES,1
COMMUNICATIONS SERVICES NEC,1
HAZARDOUS WASTE MANAGEMENT,1
COGENERATION SERVICES AND SMALL POWER PRODUCERS,1
WHOLESALE DURABLE GOODS,1
WHOLESALE MOTOR VEHICLE SUPPLIES AND NEW PARTS,1
WHOLESALE PROFESSIONAL AND COMMERCIAL EQUIPMENT AND SUPPLIES,1
TRUCKING AND COURIER SERVICES NO AIR,1
WHOLESALE COMPUTERS AND PERIPHERAL EQUIPMENT AND SOFTWARE,1
WHOLESALE MEDICAL DENTAL AND HOSPITAL EQUIPMENT AND SUPPLIES,1
WHOLESALE METALS SERVICE CENTERS AND OF FICES,1
WHOLESALE ELECTRICAL APPARATUS AND EQUIPMENT WIRING SUPPLIES,1
WHOLESALE MACHINERY EQUIPMENT AND SUPPLIES,1
WHOLESALE FARM PRODUCT RAW MATERIALS,1
WHOLESALE CHEMICALS AND ALLIED PRODUCTS,1
AIR COURIER SERVICES,1
SPORTING AND ATHLETIC GOODS NEC,1
ELECTRONIC COMPUTERS,1
SEMICONDUCTORS AND RELATED DEVICES,1
COMPUTER STORAGE DEVICES,1
OFFICE MACHINES NEC,1
MOTORS AND GENERATORS,1
ELECTRIC LIGHTING AND WIRING EQUIPMENT,1
HOUSEHOLD AUDIO AND VIDEO EQUIPMENT,1
RADIO AND TV BROADCASTING AND COMMUNICATIONS EQUIPMENT,1
COMMUNICATIONS EQUIPMENT NEC,1
TRUCK TRAILERS,1
WATCHES CLOCKS CLOCKWORK OPERATED DEVICES PARTS,1
AIRCRAFT,1
MOTORCYCLES BICYCLES AND PARTS,1
GUIDED MISSILES AND SPACE VEHICLES AND PARTS,1
AGRICULTURAL SERVICES,1
AUTO CONTROLS FOR REGULATING RESIDENTIAL AND COMML ENVIRONMENTS,1
TOTALIZING FLUID METERS AND COUNTING DEVICES,1
OPTICAL INSTRUMENTS AND LENSES,1
MISCELLANEOUS TRANSPORTATION EQUIPMENT,1
