,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,-4.56175,6.55101,17.49524,1.40653,7.81,14.25815,-5.5713,8661.0,26.95108,-12.14848,9.64,15072.0,15.12789,-14.56347,14.22081,17.30856,0.83626,10.88604,15.78524,46.02447,45.87964,67.77725,2.45919,210.33972
AOS,-8.9294,4.83942,10.26532,1.95747,2.22,12.36342,-12.86081,543.4,18.15752,-13.95349,2.24,1180.7,10.62293,-16.70419,12.36342,12.38373,1.48845,9.48487,14.75609,21.86891,21.86891,16.72246,0.61594,20.08039
AIR,27.22772,8.94031,26.04059,2.66434,2.4,4.09884,21.34387,153.5,7.48124,13.74408,2.72,329.8,5.65601,-51.92308,0.36553,4.57355,0.83692,4.54897,6.40299,9.13039,9.13039,13.52616,0.92313,15.6419
ABM,7.07031,6.18944,23.16324,1.41334,1.91,1.96196,9.8912,333.3,5.1288,31.72414,2.18,731.1,2.75829,30.26585,1.96042,2.23414,1.26806,3.85753,5.96105,8.50964,8.50964,34.19817,2.40444,51.97147
ACCO,5.9057,4.43419,8.02219,1.36889,1.06,5.46096,2.77271,281.7,14.40405,6.0,1.24,634.4,8.37616,0.09372,5.46096,6.30874,0.81777,4.73991,7.84614,13.66253,13.66253,54.37283,3.27299,119.16764
ACM,5.64712,3.58749,23.43476,1.16604,-1.66,-0.91205,14.94298,915.822,4.53977,78.123405,1.59,611.655,3.18814,78.123405,-1.29404,1.23777,1.06892,2.85372,5.46871,-6.7079,-4.49979,46.601,3.71572,87.26942
AES,-7.27273,6.62915,4.51237,1.02649,0.45,4.68152,-6.31455,3175.0,31.16106,-69.5946,0.45,2349.0,-6.0396,-74.81297,2.9738,2.93257,0.66228,4.06724,5.14039,9.73565,7.57143,76.97953,6.44252,240.234
AGCO,-9.06509,10.75845,37.8127,1.29281,1.63,1.3582,1.87129,805.7,8.91123,-54.46927,4.49,1984.3,4.12173,-56.14711,1.38474,3.78413,0.42756,4.33589,7.48519,4.32716,4.16236,34.81478,1.92702,53.40901
ALE,-33.241,10.30316,43.18776,0.53114,3.59,14.95365,-5.68182,381.8,30.77791,6.21302,3.24,435.1,-24.35208,6.6054,14.96171,13.47715,0.33209,2.11077,2.94951,8.46001,8.26023,41.28856,4.30199,70.32454
AME,3.37427,6.41251,22.3303,1.42074,3.75,16.69647,10.69716,1411.422,27.36079,12.27545,3.78,1787.66,13.33,10.71609,16.69647,16.68934,0.84919,7.95233,9.84793,18.40887,18.40887,36.61005,2.0932,57.7537
