ticker,cik,sic,sicDescription,entityType,stateOfIncorporation,sic_desc,industry_id
FDP,1047340,100.0,Agricultural Production-Crops,operating,E9,AGRICULTURAL PRODUCTION-CROPS,4
BV,1734713,700.0,Agricultural Services,operating,DE,AGRICULTURAL SERVICES,5
CLF,764065,1000.0,Metal Mining,operating,OH,METAL MINING,115
FCX,831259,1000.0,Metal Mining,operating,DE,METAL MINING,115
SCCO,1001838,1000.0,Metal Mining,operating,DE,METAL MINING,115
AU,1973832,1040.0,Gold and Silver Ores,other,X0,GOLD AND SILVER ORES,78
CDE,215466,1040.0,Gold and Silver Ores,operating,DE,GOLD AND SILVER ORES,78
NEM,1164727,1040.0,Gold and Silver Ores,operating,DE,GOLD AND SILVER ORES,78
CCJ,1009001,1090.0,Miscellaneous Metal Ores,other,,MISCELLANEOUS METAL ORES,126
CNR,1710366,1220.0,Silver Ores,operating,DC,SILVER ORES,242
HCC,1691303,1220.0,Silver Ores,operating,DE,SILVER ORES,242
BTU,1064728,1221.0,Bituminous Coal & Lignite Surface Mining,operating,DE,BITUMINOUS COAL & LIGNITE SURFACE MINING,19
AMPY,1533924,1311.0,Crude Petroleum & Natural Gas,operating,,CRUDE PETROLEUM & NATURAL GAS,45
AR,1433270,1311.0,Crude Petroleum & Natural Gas,operating,,CRUDE PETROLEUM & NATURAL GAS,45
CIVI,1509589,1311.0,Crude Petroleum & Natural Gas,operating,DE,CRUDE PETROLEUM & NATURAL GAS,45
CNX,1070412,1311.0,Crude Petroleum & Natural Gas,operating,DE,CRUDE PETROLEUM & NATURAL GAS,45
CRK,23194,1311.0,Crude Petroleum & Natural Gas,operating,NV,CRUDE PETROLEUM & NATURAL GAS,45
CTRA,858470,1311.0,Crude Petroleum & Natural Gas,operating,DE,CRUDE PETROLEUM & NATURAL GAS,45
DVN,1090012,1311.0,Crude Petroleum & Natural Gas,operating,DE,CRUDE PETROLEUM & NATURAL GAS,45
EOG,821189,1311.0,Crude Petroleum & Natural Gas,operating,DE,CRUDE PETROLEUM & NATURAL GAS,45
EQT,33213,1311.0,Crude Petroleum & Natural Gas,operating,PA,CRUDE PETROLEUM & NATURAL GAS,45
GPOR,874499,1311.0,Crude Petroleum & Natural Gas,operating,,CRUDE PETROLEUM & NATURAL GAS,45
KOS,1509991,1311.0,Crude Petroleum & Natural Gas,operating,DE,CRUDE PETROLEUM & NATURAL GAS,45
